district,total_crimes,total_arrests,arrest_rate_pct,unique_crime_types
012,6533,619,9.47,28
008,6374,909,14.26,26
002,5680,613,10.79,27
006,5582,801,14.35,27
001,5573,949,17.03,25
003,5550,744,13.41,26
019,5496,480,8.73,27
004,5445,700,12.86,26
018,5397,799,14.8,24
011,5174,1345,26.0,26
025,5100,843,16.53,27
009,4697,734,15.63,26
007,4247,822,19.35,25
010,3944,965,24.47,26
005,3765,753,20.0,23
014,3547,457,12.88,25
016,3362,537,15.97,26
015,3281,634,19.32,27
024,3123,473,15.15,22
017,3032,415,13.69,25
022,2999,343,11.44,25
020,2099,260,12.39,23
