crime_type,total_crimes,total_arrests,arrest_rate_pct
THEFT,22232,2120,9.54
BATTERY,18214,3506,19.25
CRIMINAL DAMAGE,11013,482,4.38
ASSAULT,8895,1163,13.07
MOTOR VEHICLE THEFT,7988,301,3.77
OTHER OFFENSE,7041,1152,16.36
DECEPTIVE PRACTICE,5885,148,2.51
BURGLARY,5514,168,3.05
NARCOTICS,2927,2740,93.61
CRIMINAL TRESPASS,2471,839,33.95
ROBBERY,1983,173,8.72
WEAPONS VIOLATION,1951,1441,73.86
CRIMINAL SEXUAL ASSAULT,712,14,1.97
OFFENSE INVOLVING CHILDREN,700,50,7.14
SEX OFFENSE,566,24,4.24
PUBLIC PEACE VIOLATION,474,220,46.41
INTERFERENCE WITH PUBLIC OFFICER,413,364,88.14
STALKING,248,11,4.44
HOMICIDE,179,32,17.88
ARSON,167,12,7.19
INTIMIDATION,108,0,0.0
CONCEALED CARRY LICENSE VIOLATION,87,85,97.7
LIQUOR LAW VIOLATION,79,78,98.73
PROSTITUTION,54,47,87.04
KIDNAPPING,49,2,4.08
OBSCENITY,22,9,40.91
PUBLIC INDECENCY,14,12,85.71
HUMAN TRAFFICKING,11,0,0.0
OTHER NARCOTIC VIOLATION,2,1,50.0
GAMBLING,1,1,100.0
